country,plant_name,capacity_megawatt,energy_source
Brazil,"Torre E",3,"Oil"
Brazil,"Torre Eldorado",4.206,"Gas"
Brazil,"Torre Santander",8.934,"Oil"
Brazil,Total,25,"Biomass"
Brazil,Totvs,2.08,"Oil"
Brazil,Trairí,25.388,"Wind"
Brazil,Tramontina,1.5,"Biomass"
Brazil,Transtechnology,2.032,"Oil"
Brazil,Trapiche,26,"Biomass"
Brazil,Triunfo,14,"Biomass"
Brazil,Triálcool,15,"Biomass"
Brazil,Trombini,4.87,"Biomass"
Brazil,"Tropical Bioenergia",80,"Biomass"
Brazil,"Tropical Bioenergia II",32,"Biomass"
Brazil,"Três Capões",1.268,"Hydro"
Brazil,"Três Irmãos",811.45,"Hydro"
Brazil,"Três Marias",396,"Hydro"
Brazil,Tucuruí,8535,"Hydro"
Brazil,Tudelândia,2.4,"Hydro"
Brazil,"Turvo I",1,"Oil"
Brazil,"Túlio Cordeiro de Mello (Antiga Granada)",15.93,"Hydro"
Brazil,U-50,50,"Oil"
Brazil,UFL,42,"Biomass"
Brazil,"UG Diesel Granol Bebedouro",4.14,"Oil"
Brazil,UGPU,7.7,"Gas"
Brazil,"UNIME UNIÃO M EDUC CULTURA - LAURO DE FREITAS",1.2,"Oil"
Brazil,"UT UGPU Itabirito",4.9512,"Gas"
Brazil,Uarini,3.1,"Oil"
Brazil,Uberaba,12,"Biomass"
Brazil,Uberlândia,2.852,"Waste"
Brazil,"Uberlândia Refrescos",1.15,"Oil"
Brazil,"Una Açúcar e Energia",3,"Biomass"
Brazil,"Unaí Baixo",26,"Hydro"
Brazil,Unialco,3.6,"Biomass"
Brazil,"Unidade de Bioenergia Alto Taquari",72.7,"Biomass"
Brazil,"Unidade de Bioenergia Costa Rica",79.828,"Biomass"
Brazil,"Unidade de Bioenergia Morro Vermelho",72.7,"Biomass"
Brazil,"Unidade de Bioenergia Água Emendada",79.828,"Biomass"
Brazil,"Unidade de Geração de Energia Elétrica - Agrenco - Mato Grosso",34,"Biomass"
Brazil,Unipac,3.5,"Oil"
Brazil,"Univalem Bioenergia",45,"Biomass"
Brazil,União,10,"Biomass"
Brazil,"União dos Ventos 1",22.4,"Wind"
Brazil,"União dos Ventos 10",14.4,"Wind"
Brazil,"União dos Ventos 2",22.4,"Wind"
Brazil,"União dos Ventos 3",22.4,"Wind"
Brazil,"União dos Ventos 4",11.2,"Wind"
Brazil,"União dos Ventos 5",24,"Wind"
Brazil,"União dos Ventos 6",12.8,"Wind"
Brazil,"União dos Ventos 7",14.4,"Wind"
Brazil,"União dos Ventos 8",14.4,"Wind"
Brazil,"União dos Ventos 9",11.2,"Wind"
Brazil,"União e Indústria",4.6,"Biomass"
Brazil,"Urbano Jaraguá",3,"Biomass"
Brazil,"Urbano Sinop",1.2,"Biomass"
Brazil,"Urbano São Gabriel",2.22,"Biomass"
Brazil,Uruba,10,"Biomass"
Brazil,Uruguaiana,639.9,"Gas"
Brazil,Usaciga,48.6,"Biomass"
Brazil,Usalpa,3,"Biomass"
Brazil,"Usaçúcar - Terra Rica",16.5,"Biomass"
Brazil,Usiminas,18.81,"Biomass"
Brazil,"Usina Ala Mega",1.456,"Oil"
Brazil,"Usina Bertolo Açúcar e Álcool",3.8,"Biomass"
Brazil,"Usina Bonfim",111,"Biomass"
Brazil,"Usina Coruripe Açúcar e Álcool",20,"Biomass"
Brazil,"Usina Laguna Açúcar e Álcool",2.4,"Biomass"
Brazil,"Usina Monte Alegre",18.5,"Biomass"
Brazil,"Usina São Luiz",16,"Biomass"
Brazil,"Usina Vale",4.4,"Biomass"
Brazil,"Usina da Pedra",35,"Biomass"
Brazil,"Usina da Serra",15,"Biomass"
Brazil,"Usipar Industria e Comercio",4.997,"Biomass"
Brazil,"VILMA ALIMENTOS",2.5392,"Oil"
Brazil,"VIVA OPEN MALL",1.524,"Oil"
Brazil,"Vale Complexo Tubarão - 7GE",1.6,"Oil"
Brazil,"Vale Complexo Tubarão GE 8",1.6,"Oil"
Brazil,"Vale Complexo Tubarão GE2",2.56,"Oil"
Brazil,"Vale Fertilizantes Cajati (Antiga Serrana)",10.7,"Oil"
Brazil,"Vale Fertilizantes Catalão",1.8248,"Oil"
Brazil,"Vale Fertilizantes Cubatão (Antiga Bunge nº 1 Cubatão)",11.5,"Oil"
Brazil,"Vale Fertilizantes Tapira",1.8248,"Oil"
Brazil,"Vale Fertilizantes Uberaba (Antiga Fosfértil - Expansão do Complexo Industrial Uberaba)",24.4,"Oil"
Brazil,"Vale do Ivaí",18.4,"Biomass"
Brazil,"Vale do Ivaí - Cambuí",3.6,"Biomass"
Brazil,"Vale do Paranaíba",5,"Biomass"
Brazil,"Vale do Rosário",97,"Biomass"
Brazil,"Vale do São Simão",55,"Biomass"
Brazil,"Vale do Tijuco",45,"Biomass"
Brazil,"Vale do Tijuco II",40,"Biomass"
Brazil,"Vale do Verdão",23.4,"Biomass"
Brazil,"Valfilm MG Industria de embalagens plastica",1.012,"Oil"
Brazil,Valinho,2,"Biomass"
Brazil,Varginha,9,"Hydro"
Brazil,Vazante,90,"Solar"
Brazil,"Vento Aragano I",29.7,"Wind"
Brazil,"Vento Formoso",25.35,"Wind"
Brazil,"Ventos da Andorinha",30,"Wind"
Brazil,"Ventos de Campo Formoso I",30,"Wind"
Brazil,"Ventos de Campo Formoso II",30,"Wind"
Brazil,"Ventos de Guarás I",30,"Wind"
Brazil,"Ventos de Morrinhos",30,"Wind"
Brazil,"Ventos de Santa Angelina",29.7,"Wind"
Brazil,"Ventos de Santa Brígida I",13.6,"Wind"
Brazil,"Ventos de Santa Brígida II",27.2,"Wind"
Brazil,"Ventos de Santa Brígida III",28.9,"Wind"
Brazil,"Ventos de Santa Brígida IV",27.2,"Wind"
Brazil,"Ventos de Santa Brígida V",28.9,"Wind"
Brazil,"Ventos de Santa Brígida VI",28.9,"Wind"
Brazil,"Ventos de Santa Brígida VII",27.2,"Wind"
Brazil,"Ventos de Santa Bárbara",29.7,"Wind"
Brazil,"Ventos de Santa Joana I",28.9,"Wind"
Brazil,"Ventos de Santa Joana II",30,"Wind"
Brazil,"Ventos de Santa Joana III",29.6,"Wind"
Brazil,"Ventos de Santa Joana IV",27.2,"Wind"
Brazil,"Ventos de Santa Joana IX",29.6,"Wind"
Brazil,"Ventos de Santa Joana V",28.9,"Wind"
Brazil,"Ventos de Santa Joana VI",30,"Wind"
Brazil,"Ventos de Santa Joana VII",28.9,"Wind"
Brazil,"Ventos de Santa Joana VIII",30,"Wind"
Brazil,"Ventos de Santa Joana X",29.6,"Wind"
Brazil,"Ventos de Santa Joana XI",29.6,"Wind"
Brazil,"Ventos de Santa Joana XII",28.9,"Wind"
Brazil,"Ventos de Santa Joana XIII",29.6,"Wind"
Brazil,"Ventos de Santa Joana XIV",30,"Wind"
Brazil,"Ventos de Santa Joana XV",28.9,"Wind"
Brazil,"Ventos de Santa Joana XVI",28.9,"Wind"
Brazil,"Ventos de Santo Augusto I",18.4,"Wind"
Brazil,"Ventos de Santo Augusto II",27.6,"Wind"
Brazil,"Ventos de Santo Augusto III",29.6,"Wind"
Brazil,"Ventos de Santo Augusto IV",28.9,"Wind"
Brazil,"Ventos de Santo Augusto V",29.6,"Wind"
Brazil,"Ventos de Santo Augusto VI",29.9,"Wind"
Brazil,"Ventos de Santo Augusto VII",18.4,"Wind"
Brazil,"Ventos de Santo Augusto VIII",18.4,"Wind"
Brazil,"Ventos de Santo Dimas",29.4,"Wind"
Brazil,"Ventos de Santo Estevão II",25.3,"Wind"
Brazil,"Ventos de Santo Estevão III",29.9,"Wind"
Brazil,"Ventos de Santo Estevão V",27.6,"Wind"
Brazil,"Ventos de Santo Onofre I",30,"Wind"
Brazil,"Ventos de Santo Onofre II",30,"Wind"
Brazil,"Ventos de Santo Onofre III",30,"Wind"
Brazil,"Ventos de Santo Uriel",16.2,"Wind"
Brazil,"Ventos de São Benedito",29.4,"Wind"
Brazil,"Ventos de São Clemente 1",29.155,"Wind"
Brazil,"Ventos de São Clemente 2",29.155,"Wind"
Brazil,"Ventos de São Clemente 3",29.155,"Wind"
Brazil,"Ventos de São Clemente 4",29.155,"Wind"
Brazil,"Ventos de São Clemente 5",29.155,"Wind"
Brazil,"Ventos de São Clemente 6",25.725,"Wind"
Brazil,"Ventos de São Clemente 7",24.01,"Wind"
Brazil,"Ventos de São Clemente 8",20.58,"Wind"
Brazil,"Ventos de São Martinho",14.7,"Wind"
Brazil,"Ventos de São Miguel",30,"Wind"
Brazil,"Ventos de Tianguá",25.35,"Wind"
Brazil,"Ventos de Tianguá Norte",27.04,"Wind"
Brazil,"Ventos do Morro do Chapéu",25.35,"Wind"
Brazil,"Ventos do Nordeste",23.52,"Wind"
Brazil,"Ventos do Parazinho",27.04,"Wind"
Brazil,"Ventos do Sertão",30,"Wind"
Brazil,"Verace 24",19.69,"Wind"
Brazil,"Verace 25",7.16,"Wind"
Brazil,"Verace 26",14.32,"Wind"
Brazil,"Verace 27",16.11,"Wind"
Brazil,"Verace 28",12.53,"Wind"
Brazil,"Verace 29",17.9,"Wind"
Brazil,"Verace 30",17.9,"Wind"
Brazil,"Verace 31",8.95,"Wind"
Brazil,"Verace 34",14.32,"Wind"
Brazil,"Verace 35",12.53,"Wind"
Brazil,"Verace 36",21.48,"Wind"
Brazil,"Verace I",20,"Wind"
Brazil,"Verace II",20,"Wind"
Brazil,"Verace III",26,"Wind"
Brazil,"Verace IV",30,"Wind"
Brazil,"Verace IX",30,"Wind"
Brazil,"Verace V",30,"Wind"
Brazil,"Verace VI",18,"Wind"
Brazil,"Verace VII",30,"Wind"
Brazil,"Verace VIII",26,"Wind"
Brazil,"Verace X",28,"Wind"
Brazil,Veracel,117.045,"Biomass"
Brazil,"Verde Vale III",15.1,"Solar"
Brazil,Vertente,53,"Biomass"
Brazil,Veríssimo,5,"Biomass"
Brazil,Vetorial,3.5,"Biomass"
Brazil,"Vetorial Corumbá",10,"Biomass"
Brazil,"Via Brasil Shopping",3.024,"Oil"
Brazil,Viana,174.6,"Oil"
Brazil,Vicentina,2,"Biomass"
Brazil,"Victor Baptista Adami (Antiga Passos Maia)",25,"Hydro"
Brazil,Videplast,2,"Oil"
Brazil,Viena,7.2,"Biomass"
Brazil,"Vila Amazonas V",24,"Wind"
Brazil,"Vila Pará I",27,"Wind"
Brazil,"Vila Pará II",24,"Wind"
Brazil,"Vila Pará III",24,"Wind"
Brazil,Vilhena,23.75,"Oil"
Brazil,Viralcool,20,"Biomass"
Brazil,"Viralcool Castilho",50,"Biomass"
Brazil,"Virgolino de Oliveira - Fazenda Canoas",5,"Biomass"
Brazil,"Virgolino de Oliveira - Itapira",5.8,"Biomass"
Brazil,"Virálcool 2",30,"Biomass"
Brazil,"Vista Alegre",60,"Biomass"
Brazil,"Vista Alegre I (Antiga Energética Vista Alegre)",60,"Biomass"
Brazil,"Vista Alegre II",30,"Biomass"
Brazil,Vitorino,5.28,"Hydro"
Brazil,Vitória,4.5,"Wind"
Brazil,Vitória,4.225,"Biomass"
Brazil,"Vitória Apart Hospital",2.1,"Gas"
Brazil,Vivicon,1.12,"Oil"
Brazil,"Viçosa (Antiga Bicame)",4.5,"Hydro"
Brazil,"Volta Grande",3.13,"Hydro"
Brazil,"Volta Grande",380,"Hydro"
Brazil,"Volta do Rio",42,"Wind"
Brazil,Vulcabrás,4.98,"Gas"
Brazil,"Várzea Alegre",7.5,"Hydro"
Brazil,WD,48,"Biomass"
Brazil,"Wal Mart Blumenau",1,"Oil"
Brazil,"Wal Mart Chapecó",1.04,"Oil"
Brazil,"Wal Mart Indaiatuba",1,"Oil"
Brazil,"Wal Mart Taubaté",1,"Oil"
Brazil,"Wal-Mart Campos",1.08,"Oil"
Brazil,"Wal-Mart Morumbi",1.08,"Oil"
Brazil,"Walmart Big Brusque",1.04,"Oil"
Brazil,"Walmart Santa Maria",1,"Oil"
Brazil,"Walter Rossi (Antiga Antas II)",15.782,"Hydro"
Brazil,"Wasser Kraft",1.4,"Hydro"
Brazil,"West Shopping",3.264,"Oil"
Brazil,"Willy Faller",1,"Hydro"
Brazil,Xangri-lá,27.675,"Wind"
Brazil,Xavante,4.95,"Wind"
Brazil,Xavantina,6.075,"Hydro"
Brazil,Xavier,6,"Hydro"
Brazil,Xicão,1.808,"Hydro"
Brazil,Xingó,3162,"Hydro"
Brazil,"YAMADA CIDADE NOVA",1.23265,"Oil"
Brazil,"YAMADA PLAZA CASTANHAL",2.392,"Oil"
Brazil,"YAMADA PÁTIO BELÉM",1.025,"Oil"
Brazil,YOKI,2.748,"Oil"
Brazil,"YOKI ALIMENTOS",1.65,"Oil"
Brazil,"YPE I",3.65,"Oil"
Brazil,"Yuni GTIS Leopoldo Green",2.055,"Gas"
Brazil,Zanin,16,"Biomass"
Brazil,"Zanotti Pacatuba",1.524,"Oil"
Brazil,"Zé Tunin",8,"Hydro"
Brazil,benedito,1,"Hydro"
Brazil,"cooperativa regional agropecuaria sul catarinense - coopersulca",1.0944,"Oil"
Brazil,promold,1.5,"Oil"
Brazil,"Água Benta",1,"Hydro"
Brazil,"Água Bonita",17,"Biomass"
Brazil,"Água Limpa",2.76,"Biomass"
Brazil,"Água Limpa",14,"Hydro"
Brazil,"Água Santa",1,"Hydro"
Brazil,"Água Vermelha (Antiga José Ermírio de Moraes)",1396.2,"Hydro"
Brazil,"Ângelo Cassol",3.6,"Hydro"
Brazil,"Índio Condá",2.9,"Hydro"
Bulgaria,"AES Galabovo",670,"Coal"
Bulgaria,Bezmer,10,"Solar"
Bulgaria,"Bobov Dol power station",630,"Coal"
Bulgaria,"Brikel power station",240,"Coal"
Bulgaria,Cherganovo,29.3,"Solar"
Bulgaria,Chervenako,4,"Solar"
Bulgaria,"Deven power station",174,"Coal"
Bulgaria,Devnya,4.8,"Solar"
Bulgaria,Hadjidimovo,11,"Solar"
Bulgaria,Hanovo,4.5,"Solar"
Bulgaria,IVAILOVGRAD,114,"Hydro"
Bulgaria,KARDZHALI,110,"Hydro"
Bulgaria,KOZLODUY,2000,"Nuclear"
Bulgaria,Kalipetrovo,3.9,"Solar"
Bulgaria,Karadzhalovo,50,"Solar"
Bulgaria,Karlovo,4.9,"Solar"
Bulgaria,Kolarovo,5.9,"Solar"
Bulgaria,Letnitsa,11,"Solar"
Bulgaria,"MOMINA KLISU",120,"Hydro"
Bulgaria,"Maritsa 3 power station",120,"Coal"
Bulgaria,"Maritsa Itzok-2 power station",1602,"Coal"
Bulgaria,"Maritsa Itzok-3 power station",908,"Coal"
Bulgaria,Mokresh,4.1,"Solar"
Bulgaria,Montan-Renar,7,"Solar"
Bulgaria,PESHTERA,135,"Hydro"
Bulgaria,PSBELMEKEN,375,"Hydro"
Bulgaria,"PSCHAIRA GEN",864,"Hydro"
Bulgaria,Palauzovo,5,"Solar"
Bulgaria,Pobeda,50.6,"Solar"
Bulgaria,RUSE,180,"Coal"
Bulgaria,"Republika power station",105,"Coal"
Bulgaria,SESTRIMO,240,"Hydro"
Bulgaria,"SVETI NIKOLA",156,"Wind"
Bulgaria,Skobelevo,5,"Solar"
Bulgaria,Solsbor,10,"Solar"
Bulgaria,"TOPLO RUSE",110,"Coal"
Bulgaria,"Vidin Works power station",120,"Coal"
Bulgaria,Vilo,3.9,"Solar"
Bulgaria,Vratsa,18,"Solar"
Bulgaria,"Vratsa N",5,"Solar"
Bulgaria,Yambol,10,"Solar"
Bulgaria,Yerusalimovo,5.1,"Solar"
Bulgaria,Zdravets,16.2,"Solar"
"Burkina Faso",Bagre,16,"Hydro"
"Burkina Faso",Bobo,23.846,"Oil"
"Burkina Faso",Essakane,19.9,"Solar"
"Burkina Faso",Kompienga,14,"Hydro"
"Burkina Faso",Kossodo,64,"Oil"
"Burkina Faso",Ouaga,58.56,"Oil"
"Burkina Faso",Zagtouli,33,"Solar"
Burundi,Kabu,20,"Hydro"
Burundi,"Mpanda Burundi",10.4,"Hydro"
Burundi,"Mubuga GWG",7.6,"Solar"
Burundi,Rwegura,19.17,"Hydro"
Cambodia,"Angkor Biomass",2,"Biomass"
Cambodia,Bavet,10,"Solar"
Cambodia,"Bavet A",3,"Solar"
Cambodia,CMIP,9.8,"Solar"
Cambodia,Kamchay,193,"Hydro"
Cambodia,"Khmer Electric Power Diesel Power Plant",30,"Oil"
Cambodia,"Kirirom I",12,"Hydro"
Cambodia,"Lower Russei Chrum",338,"Hydro"
Cambodia,"MH Bio-Ethanol Distillery",23.2,"Waste"
Cambodia,"Phnom Penh Diesel",18.6,"Oil"
Cambodia,"Siang Phong",2,"Waste"
Cambodia,"Sihanoukville CEL power station",100,"Coal"
Cambodia,"Sihanoukville CIIDG power station",405,"Coal"
Cambodia,"Sihanoukville Diesel",5,"Oil"
Cambodia,"Stung Atai",120,"Hydro"
Cambodia,"Stung Tatai",246,"Hydro"
Cameroon,Bafoussam,10.62,"Oil"
Cameroon,"Douala Bassa",14.14,"Oil"
Cameroon,Edea,154.2,"Hydro"
Cameroon,Garoua,16,"Oil"
Cameroon,Kribi,200,"Gas"
Cameroon,Lagdo,80,"Hydro"
Cameroon,Limbe,10.62,"Oil"
Cameroon,"Song Loulou",396,"Hydro"
Canada,"13th Side Road",9.5,"Solar"
Canada,Aberfeldie,24,"Hydro"
Canada,"Abitibi Canyon",349,"Hydro"
Canada,Abénaquis,2.1,"Hydro"
Canada,Adam-Cunningham,7,"Hydro"
Canada,Adelaide,59.9,"Wind"
Canada,"Adelaide (Suncor)",40,"Wind"
Canada,"Adelaide 1",10,"Solar"
Canada,Aeolus,3,"Wind"
Canada,Aguasabon,45,"Hydro"
Canada,Aishihik,37,"Hydro"
Canada,Akolkolex,10,"Hydro"
Canada,"AlPac Boyle",125,"Biomass"
Canada,"Alderville 3",5,"Solar"
Canada,Alexander,69,"Hydro"
Canada,Alfred,10,"Solar"
Canada,"Algoma Cogeneration",63,"Gas"
Canada,Almonte,5,"Hydro"
Canada,"Amherst Community Wind Farm",6,"Wind"
Canada,"Amherst I",31.5,"Wind"
Canada,"Amherstburg Solar",10,"Solar"
Canada,Amherstburg-1,20,"Solar"
Canada,Amherstburg-2,15,"Solar"
Canada,Andrews,47,"Hydro"
Canada,"Annacis Island Wwtp",3.2,"Biomass"
Canada,"Annapolis Tidal",20,"Wave and Tidal"
Canada,Appleton,1.4,"Hydro"
Canada,Ardenville,69,"Wind"
Canada,Aria,9,"Solar"
Canada,Armow,180,"Wind"
Canada,"Armstrong Cogeneration",20,"Biomass"
Canada,Arnprior,82,"Hydro"
Canada,"Arnprior Solar",23.4,"Solar"
Canada,"Arrow Lakes",185,"Hydro"
Canada,Arthur,10,"Wind"
Canada,"Ash River",28,"Hydro"
Canada,"Ashlu Creek",49.9,"Hydro"
Canada,Atholville,21,"Biomass"
Canada,Atikokan-G1,215,"Biomass"
Canada,"Aubrey Falls",162,"Hydro"
Canada,Auburn,2,"Hydro"
Canada,"Auld's Mountain",4.6,"Wind"
Canada,Aurora,85,"Gas"
Canada,Aurora,160,"Gas"
Canada,"Avon 1",4.6,"Hydro"
Canada,"Avon 2",3.5,"Hydro"
Canada,"Avondale Community Wind Park",1.6,"Wind"
Canada,Ayers-1,4.8,"Hydro"
Canada,Ayers-2,1,"Hydro"
Canada,"Baddeck Community Wind Project",1.7,"Wind"
Canada,Baie-des-Sables,109.5,"Wind"
Canada,"Balsam Lake",3,"Solar"
Canada,Balzac,120,"Gas"
Canada,"Barr Creek",4.4,"Hydro"
Canada,Barrachois,4,"Wind"
Canada,Barrage-Larocque,10.6,"Hydro"
Canada,"Barrett Chute",176,"Hydro"
Canada,Barrier,13,"Hydro"
Canada,"Barrington (Watts Wind II)",3.2,"Wind"
Canada,Bassano,2,"Solar"
Canada,Batawa,5,"Hydro"
Canada,"Bateston Wind Project",2.3,"Wind"
Canada,"Battle River",689,"Coal"
Canada,"Bay D'espoir",604,"Hydro"
Canada,"Bayside Power",290,"Gas"
Canada,Beamlight,10,"Solar"
Canada,"Bear Mountain",102,"Wind"
Canada,"Beare Road LFG",5,"Biomass"
Canada,Bearspaw,17,"Hydro"
Canada,Beauharnois,1877,"Hydro"
Canada,Beaumont,270,"Hydro"
Canada,"Becker Cogeneration",15,"Biomass"
Canada,Beechwood,112,"Hydro"
Canada,Belding,1.6,"Hydro"
Canada,Belle-Rivière,1,"Hydro"
Canada,Belledune,467,"Coal"
Canada,Belleterre,2.2,"Hydro"
Canada,"Belleville TS Demorestville",10,"Solar"
Canada,"Belly River",3,"Hydro"
Canada,Belmont,20,"Solar"
Canada,"Bensfort Road LFG",1.6,"Biomass"
Canada,Bersimis-1,1178,"Hydro"
Canada,Bersimis-2,869,"Hydro"
Canada,"Big Beaver Falls",5.5,"Hydro"
Canada,"Big Chute",10,"Hydro"
Canada,"Big Eddy",8,"Hydro"
Canada,"Big Eddy Inco",27.6,"Hydro"
Canada,"Big Falls",10.6,"Hydro"
Canada,"Big Silver Creek",40.6,"Hydro"
Canada,Bighorn,120,"Hydro"
Canada,"Bingham Chute",1,"Hydro"
Canada,Bird-1-2,4.8,"Hydro"
Canada,"Bishops Falls",14.4,"Hydro"
Canada,"Bisnett Line",9,"Wind"
Canada,"Black Bay 2",1,"Solar"
Canada,"Black Pond",2,"Wind"
Canada,"Blackspring Ridge",298.8,"Wind"
Canada,"Blue Trail",66,"Wind"
Canada,"Bluearth Little Creek",8.5,"Solar"
Canada,Bluefish,7.5,"Hydro"
Canada,Bluewater,59.2,"Wind"
Canada,"Bone Creek",19,"Hydro"
Canada,"Bonnington Falls",16.2,"Hydro"
Canada,Bornish,72.9,"Wind"
Canada,"Boston Bar",9,"Hydro"
Canada,"Boulder Creek",25.3,"Hydro"
Canada,"Boundary Dam",672,"Coal"
Canada,"Bow Lake",58.3,"Wind"
Canada,"Box Canyon",15,"Hydro"
Canada,"Box Springs",6,"Wind"
Canada,"Bracebridge Falls",1.9,"Hydro"
Canada,"Brampton Biomass",15.1,"Biomass"
Canada,Brandon,385,"Gas"
Canada,Brandon,98,"Coal"
Canada,"Brandywine Creek",8,"Hydro"
Canada,"Brandywine Creek Small Hydro",8,"Hydro"
Canada,Brazeau,355,"Hydro"
Canada,"Breen 2",10,"Solar"
Canada,"Brenton Community Wind Project",2,"Wind"
Canada,"Bridge River 1",180,"Hydro"
Canada,"Bridge River 2",298,"Hydro"
Canada,"Brighton Beach",541.3,"Gas"
Canada,Brilliant,140,"Hydro"
Canada,"Brilliant Expansion 1",120,"Hydro"
Canada,Brisay,469,"Hydro"
Canada,"Britannia LFG",5.5,"Biomass"
Canada,"Brockville 1",10,"Solar"
Canada,"Brockville 2",9,"Solar"
Canada,"Brockville Solar",10,"Solar"
Canada,"Brompton Biomass Cogeneration",26,"Biomass"
Canada,"Brooklyn Energy Centre",30,"Biomass"
Canada,Brooks,13,"Solar"
Canada,"Brown Lake",7.2,"Hydro"
Canada,"Bruce A",3220,"Nuclear"
Canada,"Bruce B",3390,"Nuclear"
Canada,Bryson,56,"Hydro"
Canada,Buchans,1.8,"Hydro"
Canada,Buckingham,11.2,"Hydro"
Canada,"Bull Creek",29.2,"Wind"
Canada,"Burk's Falls",1.1,"Hydro"
Canada,"Burns Bog LFG",8,"Biomass"
Canada,Burnside,132,"Oil"
Canada,Burrard,950,"Gas"
Canada,"Burritts Rapids",7,"Solar"
Canada,"Béarn Sawmill",7,"Biomass"
Canada,Bécancour,507,"Gas"
Canada,"Bécancour (HQ)",411,"Gas"
Canada,Bésy,18.4,"Hydro"
Canada,"Cache Creek LFG",5,"Biomass"
Canada,Calabogie,5,"Hydro"
Canada,"Calgary Energy Centre",300,"Gas"
Canada,"Calm Lake",8.8,"Hydro"
Canada,Calstock,38,"Biomass"
Canada,"Cameron Falls - BRP",4.2,"Hydro"
Canada,"Cameron Falls - OPG",92,"Hydro"
Canada,"Camp Three Rapids",5.5,"Hydro"
Canada,Campbellford,2,"Hydro"
Canada,"Canoe Creek Hydro",6,"Hydro"
Canada,Cap-aux-Meules,66,"Oil"
Canada,"Cape Broyle",6.3,"Hydro"
Canada,"Cape Scott",99,"Wind"
Canada,Cardinal,156.3,"Gas"
Canada,"Cariboo Pulp & Paper  Company",61,"Biomass"
Canada,Caribou,99,"Wind"
Canada,"Caribou Falls",91,"Hydro"
Canada,Carillon,753,"Hydro"
Canada,Carleton,109.5,"Wind"
Canada,Carmichael,20,"Hydro"
Canada,Carseland,80,"Gas"
Canada,Cascade,36,"Hydro"
Canada,"Cascade Street",1.2,"Hydro"
Canada,"Castle Creek",6,"Hydro"
Canada,"Castle River",39.5,"Wind"
Canada,"Castle Rock Ridge",75.9,"Wind"
Canada,"Cat Arm",127,"Hydro"
Canada,"Catalyst Paper Crofton",38,"Biomass"
Canada,"Catalyst Paper Port Alberni",17,"Biomass"
Canada,Cavalier,120,"Gas"
Canada,"Cedar Point",100,"Wind"
Canada,"Cedar Road LFG",1.4,"Biomass"
Canada,Centennial,149.4,"Wind"
Canada,"Centrale Hydro-Canyon Saint-Joachim",23.2,"Hydro"
Canada,"Centrale Lefrançois",7.9,"Hydro"
Canada,"Centrale Val-Jalbert",16,"Hydro"
Canada,"Centrale de La Courbe du Sault",25,"Hydro"
Canada,Chapais,28,"Biomass"
Canada,"Chapleau Cogeneration",7.2,"Biomass"
Canada,"Charlot River",10,"Hydro"
Canada,"Charlottetown Thermal Generating Station",109,"Oil"
Canada,"Charlottetown Thermal Generating Station",62,"Oil"
Canada,"Charlottetown Thermal Generating Station",50,"Oil"
Canada,Chatham,101.2,"Wind"
Canada,"Chats Fall / Chute-des-Chats",192,"Hydro"
Canada,"Chaudiere 2",8.4,"Hydro"
Canada,"Chaudiere 4",9.3,"Hydro"
Canada,Cheakamus,158,"Hydro"
Canada,"Chebucto Pockwock",10,"Wind"
Canada,Chelsea,152,"Hydro"
Canada,Chenaux,144,"Hydro"
Canada,Chetwynd,12,"Biomass"
Canada,"Chiblow Lake",1.7,"Hydro"
Canada,Chicoutimi,8.2,"Hydro"
Canada,"Chin Chute",30,"Wind"
Canada,"Chin Hydro Plant",11,"Hydro"
Canada,"China Creek",6.5,"Hydro"
Canada,"Christina Lake",179,"Gas"
Canada,"Churchill Falls",5428,"Hydro"
Canada,Chute,3,"Hydro"
Canada,"Chute Garneau",5.3,"Hydro"
Canada,Chute-Allard,62,"Hydro"
Canada,Chute-Bell,10,"Hydro"
Canada,Chute-Blanche,1.4,"Hydro"
Canada,Chute-Burroughs,1.6,"Hydro"
Canada,Chute-Hemmings,29,"Hydro"
Canada,Chute-aux-Galets,13.6,"Hydro"
Canada,Chute-des-Passes,854.4,"Hydro"
Canada,Chute-du-Diable,305.8,"Hydro"
Canada,Chute-à-Caron,224,"Hydro"
Canada,Chute-à-la-Savane,258,"Hydro"
Canada,"Chutes à Thompson",9.9,"Hydro"
Canada,Chutes-de-la-Chaudière,25,"Hydro"
Canada,Chutes-à-Gorry,10.8,"Hydro"
Canada,Citylights,10,"Solar"
Canada,"Clayton Falls",2,"Hydro"
Canada,"Clear Creek",9.9,"Wind"
Canada,Clergue,52,"Hydro"
Canada,"Clover Bar",250,"Gas"
Canada,"Clover Bar LFG",4.8,"Biomass"
Canada,Clowhom,33,"Hydro"
Canada,"Coleson Cove",972,"Oil"
Canada,"Comber East / West",165.6,"Wind"
Canada,Conestogo,22.9,"Wind"
Canada,Coniston,4,"Hydro"
Canada,"Corner Brook Cogeneration",15.3,"Biomass"
Canada,Cornwall,10,"Solar"
Canada,"Corra Linn",51,"Hydro"
Canada,"Cory Cogeneration",260,"Gas"
Canada,"Coteau Creek",186,"Hydro"
Canada,"Cowie Falls",7.4,"Hydro"
Canada,"Cowley North",19.5,"Wind"
Canada,Creignishrear,2,"Wind"
Canada,"Crossfield Energy Centre",120,"Gas"
Canada,"Crowe Bay",2,"Hydro"
