"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2022-08","Aug-2022","PC","Percentage","0","Units",,,2.859091,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2022-09","Sep-2022","PC","Percentage","0","Units",,,3.1455,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2022-10","Oct-2022","PC","Percentage","0","Units",,,3.3805,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2022-11","Nov-2022","PC","Percentage","0","Units",,,3.1765,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2021-11","Nov-2021","NATUSD","National currency per US dollar","0","Units",,,1.256445,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2021-12","Dec-2021","NATUSD","National currency per US dollar","0","Units",,,1.279578,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2022-01","Jan-2022","NATUSD","National currency per US dollar","0","Units",,,1.261848,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2022-02","Feb-2022","NATUSD","National currency per US dollar","0","Units",,,1.271675,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2022-03","Mar-2022","NATUSD","National currency per US dollar","0","Units",,,1.265787,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2022-04","Apr-2022","NATUSD","National currency per US dollar","0","Units",,,1.262671,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2022-05","May-2022","NATUSD","National currency per US dollar","0","Units",,,1.285123,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2022-06","Jun-2022","NATUSD","National currency per US dollar","0","Units",,,1.281364,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2022-07","Jul-2022","NATUSD","National currency per US dollar","0","Units",,,1.293962,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2022-08","Aug-2022","NATUSD","National currency per US dollar","0","Units",,,1.291744,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,1.332723,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,1.37001,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,1.344536,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2021-11","Nov-2021","PC","Percentage","0","Units",,,0.2593452,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2021-12","Dec-2021","PC","Percentage","0","Units",,,0.2705824,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2022-01","Jan-2022","PC","Percentage","0","Units",,,0.4571955,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2022-02","Feb-2022","PC","Percentage","0","Units",,,0.6209837,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2022-03","Mar-2022","PC","Percentage","0","Units",,,0.8757348,,
